timestamp,endpoint,response_time,status_code
2026-03-11 09:00:05,/login,120,200
2026-03-11 09:01:18,/login,135,200
2026-03-11 09:02:40,/orders,360,200
2026-03-11 09:03:12,/orders,420,500
2026-03-11 09:04:55,/profile,110,200
2026-03-11 09:06:21,/login,140,200
2026-03-11 09:07:34,/checkout,510,200
2026-03-11 09:08:11,/orders,380,200
2026-03-11 09:09:46,/profile,100,200
2026-03-11 09:11:09,/login,150,200
2026-03-11 10:00:14,/orders,390,200
2026-03-11 10:02:33,/login,145,200
2026-03-11 10:03:51,/checkout,620,500
2026-03-11 10:05:12,/profile,105,200
2026-03-11 10:06:40,/orders,410,200
2026-03-11 10:08:05,/login,130,200
2026-03-11 10:09:27,/checkout,580,200
2026-03-11 10:11:16,/profile,98,200
2026-03-11 10:12:48,/orders,430,404
2026-03-11 10:14:03,/login,155,200
2026-03-11 11:00:10,/login,125,200
2026-03-11 11:02:18,/orders,370,200
2026-03-11 11:03:55,/profile,108,200
2026-03-11 11:05:12,/checkout,540,200
2026-03-11 11:06:47,/orders,395,200
2026-03-11 11:08:09,/login,142,200
2026-03-11 11:09:35,/checkout,600,504
2026-03-11 11:11:22,/profile,102,200
2026-03-11 11:13:44,/orders,415,200
2026-03-11 11:15:02,/login,138,200
