timestamp,endpoint,response_time,status_code
2026-04-07T10:00:01,/api/users,120,200
2026-04-07T10:00:05,/api/login,250,200
2026-04-07T10:00:10,/api/users,98,200
2026-04-07T10:00:15,/api/orders,310,500
2026-04-07T10:00:20,/api/products,180,200
2026-04-07T10:00:25,/api/login,450,401
2026-04-07T10:00:30,/api/users,110,200
2026-04-07T10:00:35,/api/orders,275,200
2026-04-07T10:00:40,/api/products,95,200
2026-04-07T10:00:45,/api/users,130,200
2026-04-07T10:00:50,/api/login,220,200
2026-04-07T10:00:55,/api/orders,340,503
2026-04-07T10:01:00,/api/products,160,200
2026-04-07T10:01:05,/api/users,105,200
2026-04-07T10:01:10,/api/login,280,200
2026-04-07T10:01:15,/api/orders,290,200
2026-04-07T10:01:20,/api/products,175,200
2026-04-07T10:01:25,/api/users,115,200
2026-04-07T10:01:30,/api/login,500,500
2026-04-07T10:01:35,/api/orders,260,200
