2026-02-10T12:37:08.633249+00:00 | Application started
2026-02-10T12:37:08.634279+00:00 | User logged in
2026-02-11T04:46:24.919828+00:00 | Application started
2026-02-11T04:46:24.922135+00:00 | User logged in
2026-02-11T04:46:25.357400+00:00 | Application started
2026-02-11T04:46:25.358025+00:00 | User logged in
2026-02-11T04:46:25.690631+00:00 | Application started
2026-02-11T04:46:25.691264+00:00 | User logged in
2026-02-11T04:46:34.110937+00:00 | Application started
2026-02-11T04:46:34.111697+00:00 | User logged in
